group	k	best_d_recorded	distance_trials	code_id	n
SmallGroup_12_5_	2	28	200000	SmallGroup_12_5__AAp20_0_0_6_7_8_11_BBp11_0_0_1_2_2_5_k2_d28	432
SmallGroup_12_5_	4	27	200000	SmallGroup_12_5__AAp15_0_0_5_8_10_10_BBp11_0_0_1_2_2_5_k4_d27	432
SmallGroup_12_5_	8	24	200000	SmallGroup_12_5__AAp10_0_1_3_4_5_8_BBp10_0_0_1_3_3_6_k8_d24	432
SmallGroup_14_1_	2	30	200000	SmallGroup_14_1__AAp11_0_0_1_10_10_11_BBp27_0_1_2_2_6_10_k2_d30	504
SmallGroup_14_2_	2	30	200000	SmallGroup_14_2__AAp11_0_0_2_2_4_13_BBp11_0_1_6_8_12_13_k2_d30	504
SmallGroup_14_2_	6	28	200000	SmallGroup_14_2__AAp10_0_0_3_5_10_13_BBp10_0_0_2_6_6_9_k6_d28	504
SmallGroup_15_1_	2	53	600000	SmallGroup_15_1__AAp27_0_1_6_6_7_12_BBp8_0_1_6_8_9_10_k2_d53	540
SmallGroup_15_1_	4	52	600000	SmallGroup_15_1__AAp27_0_5_6_6_7_14_BBp6_0_2_3_6_8_12_k4_d52	540
SmallGroup_15_1_	6	46	600000	SmallGroup_15_1__AAp11_0_6_7_7_12_13_BBp15_0_0_1_7_9_11_k6_d46	540
SmallGroup_15_1_	8	48	200000	SmallGroup_15_1__AAp11_0_4_5_5_10_14_BBp10_0_1_2_4_9_14_k8_d48	540
SmallGroup_15_1_	10	39	600000	SmallGroup_15_1__AAp11_0_4_5_5_10_14_BBp27_0_1_4_6_7_10_k10_d39	540
SmallGroup_15_1_	12	37	600000	SmallGroup_15_1__AAp10_0_2_3_5_6_9_BBp15_0_0_1_10_10_14_k12_d37	540
SmallGroup_15_1_	14	31	600000	SmallGroup_15_1__AAp11_0_4_9_9_10_14_BBp27_0_1_2_9_14_14_k14_d31	540
SmallGroup_15_1_	16	35	600000	SmallGroup_15_1__AAp10_0_3_4_10_11_14_BBp27_0_4_5_5_10_12_k16_d35	540
SmallGroup_15_1_	18	28	600000	SmallGroup_15_1__AAp19_0_1_4_8_12_14_BBp27_0_4_5_5_10_12_k18_d28	540
SmallGroup_15_1_	20	24	600000	SmallGroup_15_1__AAp6_0_1_2_12_13_14_BBp8_0_0_2_10_12_14_k20_d24	540
SmallGroup_15_1_	22	25	600000	SmallGroup_15_1__AAp27_0_1_6_6_7_12_BBp0_0_1_5_5_9_10_k22_d25	540
SmallGroup_15_1_	24	21	600000	SmallGroup_15_1__AAp6_0_1_5_7_11_13_BBp6_0_1_2_3_11_11_k24_d21	540
SmallGroup_15_1_	26	20	600000	SmallGroup_15_1__AAp0_0_1_2_2_7_11_BBp8_0_4_5_5_6_11_k26_d20	540
SmallGroup_15_1_	28	24	600000	SmallGroup_15_1__AAp6_0_2_4_7_9_12_BBp0_0_4_5_5_7_13_k28_d24	540
SmallGroup_16_1_	2	63	1000000	SmallGroup_16_1__AAp20_0_1_2_5_7_11_BBp20_0_1_5_6_8_12_k2_d63	576
SmallGroup_16_1_	4	59	1000000	SmallGroup_16_1__AAp11_0_1_5_9_12_15_BBp11_0_1_3_6_11_13_k4_d59	576
SmallGroup_16_1_	6	47	1000000	SmallGroup_16_1__AAp11_0_1_6_9_11_13_BBp6_0_6_8_9_9_14_k6_d47	576
SmallGroup_16_1_	8	54	1000000	SmallGroup_16_1__AAp27_0_1_2_2_3_12_BBp11_0_2_4_6_14_15_k8_d54	576
SmallGroup_16_1_	10	48	2000000	SmallGroup_16_1__AAp11_0_1_5_8_12_15_BBp20_0_6_8_10_11_14_k10_d48	576
SmallGroup_16_1_	12	48	1000000	SmallGroup_16_1__AAp27_0_1_2_2_3_12_BBp20_0_7_8_10_12_14_k12_d48	576
SmallGroup_16_1_	14	35	1000000	SmallGroup_16_1__AAp22_0_5_8_9_12_13_BBp20_0_6_8_10_11_14_k14_d35	576
SmallGroup_16_1_	16	35	1000000	SmallGroup_16_1__AAp11_0_5_8_10_13_14_BBp16_0_6_10_11_13_15_k16_d35	576
SmallGroup_16_1_	18	38	1400000	SmallGroup_16_1__AAp11_0_1_2_4_5_14_BBp27_0_5_10_10_11_14_k18_d40	576
SmallGroup_16_1_	20	31	1000000	SmallGroup_16_1__AAp11_0_1_4_6_7_15_BBp27_0_2_3_3_7_13_k20_d31	576
SmallGroup_16_1_	22	30	1000000	SmallGroup_16_1__AAp11_0_5_7_10_12_15_BBp20_0_3_5_9_10_12_k22_d30	576
SmallGroup_16_1_	24	24	1000000	SmallGroup_16_1__AAp0_0_2_6_6_8_10_BBp27_0_2_3_3_7_13_k24_d24	576
SmallGroup_16_1_	26	20	1400000	SmallGroup_16_1__AAp0_0_6_7_8_9_11_BBp27_0_3_4_4_13_15_k26_d20	576
SmallGroup_16_1_	28	20	1400000	SmallGroup_16_1__AAp8_0_4_12_12_13_15_BBp27_0_3_4_4_13_15_k28_d20	576
SmallGroup_16_1_	32	18	1400000	SmallGroup_16_1__AAp1_0_1_7_8_14_15_BBp27_0_3_4_4_13_15_k32_d18	576
SmallGroup_16_2_	2	55	1000000	SmallGroup_16_2__AAp11_0_0_1_2_5_7_BBp11_0_7_11_12_14_15_k2_d55	576
SmallGroup_16_2_	4	60	1000000	SmallGroup_16_2__AAp6_0_1_3_8_12_13_BBp11_0_3_5_7_9_12_k4_d60	576
SmallGroup_16_2_	6	52	1000000	SmallGroup_16_2__AAp6_0_1_2_4_9_15_BBp27_0_3_5_12_13_14_k6_d52	576
SmallGroup_16_2_	8	48	1000000	SmallGroup_16_2__AAp6_0_1_2_5_8_14_BBp6_0_1_2_9_12_13_k8_d48	576
SmallGroup_16_2_	10	41	1000000	SmallGroup_16_2__AAp11_0_0_1_2_10_13_BBp6_0_1_2_3_12_15_k10_d41	576
SmallGroup_16_2_	12	43	1000000	SmallGroup_16_2__AAp6_0_1_3_8_10_11_BBp6_0_1_2_3_9_13_k12_d43	576
SmallGroup_16_2_	14	38	1000000	SmallGroup_16_2__AAp15_0_1_2_4_7_11_BBp15_0_0_1_2_5_11_k14_d38	576
SmallGroup_16_2_	16	36	1000000	SmallGroup_16_2__AAp15_0_2_5_6_7_10_BBp6_0_1_2_4_5_6_k16_d36	576
SmallGroup_16_2_	18	29	1000000	SmallGroup_16_2__AAp15_0_1_6_10_11_15_BBp15_0_0_5_11_13_14_k18_d29	576
SmallGroup_16_2_	20	34	1000000	SmallGroup_16_2__AAp6_0_1_2_4_8_13_BBp6_0_1_3_7_11_12_k20_d34	576
SmallGroup_16_2_	22	24	1000000	SmallGroup_16_2__AAp11_0_1_2_6_7_12_BBp8_0_2_3_4_6_12_k22_d24	576
SmallGroup_16_2_	24	24	1000000	SmallGroup_16_2__AAp11_0_1_2_5_6_13_BBp0_0_1_2_5_7_8_k24_d24	576
SmallGroup_16_2_	26	24	1000000	SmallGroup_16_2__AAp11_0_2_3_11_13_15_BBp8_0_2_3_4_6_12_k26_d24	576
SmallGroup_17_1_	2	79	100000	SmallGroup_17_1__AAp11_0_9_10_12_15_16_BBp12_0_1_3_4_7_9_k2_d79	612
SmallGroup_17_1_	4	57	100000	SmallGroup_17_1__AAp11_0_1_4_6_7_16_BBp6_0_5_7_12_12_14_k4_d57	612
SmallGroup_17_1_	6	41	100000	SmallGroup_17_1__AAp11_0_3_4_5_14_15_BBp0_0_3_5_7_13_15_k6_d41	612
SmallGroup_17_1_	8	27	100000	SmallGroup_17_1__AAp29_0_5_9_9_10_11_BBp6_0_5_7_12_12_14_k8_d27	612
SmallGroup_17_1_	12	24	100000	SmallGroup_17_1__AAp0_0_1_3_3_7_14_BBp6_0_1_2_10_10_11_k12_d24	612
SmallGroup_17_1_	18	51	100000	SmallGroup_17_1__AAp11_0_1_10_11_12_15_BBp15_0_1_2_3_5_15_k18_d51	612
SmallGroup_17_1_	20	26	100000	SmallGroup_17_1__AAp29_0_1_6_6_9_16_BBp15_0_2_4_6_10_13_k20_d26	612
SmallGroup_17_1_	22	22	100000	SmallGroup_17_1__AAp0_0_3_11_11_12_16_BBp15_0_2_10_12_14_15_k22_d22	612
SmallGroup_17_1_	28	16	100000	SmallGroup_17_1__AAp29_0_5_9_9_10_11_BBp0_0_1_3_5_13_15_k28_d16	612
SmallGroup_17_1_	34	13	100000	SmallGroup_17_1__AAp27_0_0_7_7_10_13_BBp28_0_0_3_6_11_14_k34_d13	612
SmallGroup_17_1_	36	13	100000	SmallGroup_17_1__AAp29_0_1_5_5_9_14_BBp28_0_0_3_6_11_14_k36_d13	612
SmallGroup_17_1_	38	12	100000	SmallGroup_17_1__AAp0_0_2_4_11_13_15_BBp28_0_0_3_6_11_14_k38_d12	612
SmallGroup_17_1_	44	10	100000	SmallGroup_17_1__AAp6_0_0_2_2_13_15_BBp0_0_0_1_10_11_11_k44_d10	612
SmallGroup_17_1_	50	10	100000	SmallGroup_17_1__AAp0_0_3_7_9_13_16_BBp0_0_0_1_10_12_12_k50_d10	612
SmallGroup_18_1_	2	87	100000	SmallGroup_18_1__AAp11_0_2_3_4_11_13_BBp11_0_1_4_7_11_17_k2_d87	648
SmallGroup_18_1_	4	80	100000	SmallGroup_18_1__AAp11_0_10_11_12_15_17_BBp11_0_2_10_11_13_16_k4_d80	648
SmallGroup_18_1_	6	65	100000	SmallGroup_18_1__AAp11_0_1_4_7_11_17_BBp27_0_1_5_5_14_17_k6_d65	648
SmallGroup_18_1_	8	78	100000	SmallGroup_18_1__AAp11_0_2_10_11_13_16_BBp11_0_2_3_4_11_13_k8_d78	648
SmallGroup_18_1_	10	62	100000	SmallGroup_18_1__AAp11_0_1_9_10_11_12_BBp11_0_5_8_11_12_14_k10_d62	648
SmallGroup_18_1_	12	68	50000	SmallGroup_18_1__AAp11_0_2_11_12_13_14_BBp11_0_1_4_7_11_14_k12_d68	648
SmallGroup_18_1_	14	50	100000	SmallGroup_18_1__AAp11_0_2_3_4_11_13_BBp8_0_2_4_4_11_17_k14_d50	648
SmallGroup_18_1_	16	40	100000	SmallGroup_18_1__AAp11_0_2_3_10_13_17_BBp8_0_2_4_4_11_17_k16_d40	648
SmallGroup_18_1_	18	38	100000	SmallGroup_18_1__AAp6_0_2_3_7_12_14_BBp8_0_2_4_4_11_17_k18_d38	648
SmallGroup_18_1_	20	31	100000	SmallGroup_18_1__AAp11_0_2_3_10_13_17_BBp11_0_2_3_8_13_14_k20_d31	648
SmallGroup_18_1_	22	20	100000	SmallGroup_18_1__AAp8_0_3_6_6_8_12_BBp6_0_1_4_9_10_14_k22_d20	648
SmallGroup_18_1_	24	18	100000	SmallGroup_18_1__AAp8_0_3_6_6_8_12_BBp3_0_3_5_6_7_17_k24_d18	648
SmallGroup_18_1_	26	20	100000	SmallGroup_18_1__AAp8_0_3_6_6_8_12_BBp11_0_2_3_8_13_14_k26_d20	648
SmallGroup_18_1_	28	20	100000	SmallGroup_18_1__AAp8_0_3_6_6_8_12_BBp8_0_2_4_4_11_17_k28_d20	648
SmallGroup_18_1_	30	18	100000	SmallGroup_18_1__AAp8_0_3_6_6_8_12_BBp2_0_2_6_6_10_12_k30_d18	648
SmallGroup_18_1_	32	14	100000	SmallGroup_18_1__AAp0_0_2_4_4_12_16_BBp8_0_2_4_4_11_17_k32_d14	648
SmallGroup_18_1_	34	12	100000	SmallGroup_18_1__AAp6_0_1_10_10_11_15_BBp0_0_2_3_6_7_12_k34_d12	648
SmallGroup_18_1_	36	16	100000	SmallGroup_18_1__AAp8_0_3_6_6_8_12_BBp8_0_2_12_12_15_17_k36_d16	648
SmallGroup_18_1_	38	12	100000	SmallGroup_18_1__AAp0_0_2_4_4_12_16_BBp7_0_1_5_8_11_15_k38_d12	648
SmallGroup_18_1_	40	14	100000	SmallGroup_18_1__AAp0_0_2_4_4_12_16_BBp8_0_1_6_6_8_15_k40_d14	648
SmallGroup_18_1_	42	12	100000	SmallGroup_18_1__AAp29_0_5_8_8_10_11_BBp0_0_2_3_6_7_12_k42_d12	648
SmallGroup_18_1_	44	12	100000	SmallGroup_18_1__AAp8_0_3_6_6_8_12_BBp0_0_2_3_6_7_12_k44_d12	648
SmallGroup_18_1_	46	9	100000	SmallGroup_18_1__AAp0_0_1_5_14_15_17_BBp0_0_2_3_6_7_12_k46_d9	648
SmallGroup_18_1_	48	9	100000	SmallGroup_18_1__AAp0_0_2_3_6_7_12_BBp2_0_3_6_9_14_17_k48_d9	648
SmallGroup_18_1_	50	9	100000	SmallGroup_18_1__AAp0_0_1_2_3_7_13_BBp0_0_2_3_6_7_12_k50_d9	648
SmallGroup_18_1_	52	9	100000	SmallGroup_18_1__AAp0_0_0_3_3_5_8_BBp0_0_4_5_10_11_17_k52_d9	648
SmallGroup_18_1_	54	9	100000	SmallGroup_18_1__AAp0_0_1_3_3_7_8_BBp0_0_2_3_6_7_12_k54_d9	648
SmallGroup_18_1_	56	12	100000	SmallGroup_18_1__AAp0_0_2_4_4_12_16_BBp0_0_2_3_6_7_12_k56_d12	648
SmallGroup_18_1_	62	8	100000	SmallGroup_18_1__AAp0_0_0_3_3_5_8_BBp0_0_2_3_6_7_12_k62_d8	648
SmallGroup_18_1_	64	9	100000	SmallGroup_18_1__AAp29_0_1_5_5_8_11_BBp0_0_2_3_6_7_12_k64_d9	648
SmallGroup_18_1_	68	8	100000	SmallGroup_18_1__AAp0_0_2_3_6_7_12_BBp0_0_2_3_12_13_16_k68_d8	648
SmallGroup_19_1_	2	32	100000	SmallGroup_19_1__AAp11_0_0_0_0_0_9_BBp16_0_1_4_4_7_8_k2_d32	684
SmallGroup_19_1_	4	31	100000	SmallGroup_19_1__AAp6_0_0_0_0_10_10_BBp16_0_1_4_4_7_8_k4_d31	684
SmallGroup_19_1_	6	23	100000	SmallGroup_19_1__AAp0_0_2_3_6_7_9_BBp27_0_8_8_17_17_18_k6_d23	684
SmallGroup_19_1_	8	24	100000	SmallGroup_19_1__AAp6_0_0_0_0_11_11_BBp6_0_5_9_14_14_18_k8_d24	684
SmallGroup_19_1_	12	23	100000	SmallGroup_19_1__AAp0_0_1_3_11_13_14_BBp6_0_5_6_10_10_15_k12_d23	684
SmallGroup_19_1_	18	17	100000	SmallGroup_19_1__AAp0_0_4_5_10_11_15_BBp0_0_2_7_9_12_14_k18_d17	684
SmallGroup_19_1_	38	13	100000	SmallGroup_19_1__AAp27_0_0_7_7_12_17_BBp28_0_0_1_4_15_18_k38_d13	684
SmallGroup_19_1_	40	13	100000	SmallGroup_19_1__AAp6_0_4_9_9_13_14_BBp28_0_0_1_4_15_18_k40_d13	684
SmallGroup_19_1_	42	12	100000	SmallGroup_19_1__AAp0_0_1_2_12_13_14_BBp28_0_0_2_4_15_17_k42_d12	684
SmallGroup_19_1_	44	10	100000	SmallGroup_19_1__AAp29_0_3_7_7_11_18_BBp2_0_0_5_5_11_11_k44_d10	684
