code_id	group	n	k	d_recorded	distance_trials	distance_method	A_id	B_id	run_dir	src_dir	collected_dir
C12_AAp10_0_0_1_1_5_7_BBp11_0_0_1_2_5_7_k4_d30	C12	432	4	30	400000	dist-m4ri	p10_0_0_1_1_5_7	p11_0_0_1_2_5_7	results/progressive_C12_20260122T153931Z	results/progressive_C12_20260122T153931Z/best_codes/C12_AAp10_0_0_1_1_5_7_BBp11_0_0_1_2_5_7_k4_d30	best_codes/collected/C12_AAp10_0_0_1_1_5_7_BBp11_0_0_1_2_5_7_k4_d30
C12_AAp10_0_0_1_3_4_7_BBp11_0_0_1_2_5_7_k4_d27	C12	432	4	27	400000	dist-m4ri	p10_0_0_1_3_4_7	p11_0_0_1_2_5_7	results/progressive_C12_20260122T153931Z	results/progressive_C12_20260122T153931Z/best_codes/C12_AAp10_0_0_1_3_4_7_BBp11_0_0_1_2_5_7_k4_d27	best_codes/collected/C12_AAp10_0_0_1_3_4_7_BBp11_0_0_1_2_5_7_k4_d27
C12_AAp27_0_1_4_7_8_10_BBp11_0_0_1_2_5_7_k6_d30	C12	432	6	30	400000	dist-m4ri	p27_0_1_4_7_8_10	p11_0_0_1_2_5_7	results/progressive_C12_20260122T153931Z	results/progressive_C12_20260122T153931Z/best_codes/C12_AAp27_0_1_4_7_8_10_BBp11_0_0_1_2_5_7_k6_d30	best_codes/collected/C12_AAp27_0_1_4_7_8_10_BBp11_0_0_1_2_5_7_k6_d30
C12_AAp20_0_1_2_7_10_10_BBp11_0_0_1_2_5_7_k6_d29	C12	432	6	29	400000	dist-m4ri	p20_0_1_2_7_10_10	p11_0_0_1_2_5_7	results/progressive_C12_20260122T153931Z	results/progressive_C12_20260122T153931Z/best_codes/C12_AAp20_0_1_2_7_10_10_BBp11_0_0_1_2_5_7_k6_d29	best_codes/collected/C12_AAp20_0_1_2_7_10_10_BBp11_0_0_1_2_5_7_k6_d29
C12_AAp11_0_0_1_3_9_11_BBp11_0_0_1_2_5_7_k6_d28	C12	432	6	28	400000	dist-m4ri	p11_0_0_1_3_9_11	p11_0_0_1_2_5_7	results/progressive_C12_20260122T153931Z	results/progressive_C12_20260122T153931Z/best_codes/C12_AAp11_0_0_1_3_9_11_BBp11_0_0_1_2_5_7_k6_d28	best_codes/collected/C12_AAp11_0_0_1_3_9_11_BBp11_0_0_1_2_5_7_k6_d28
C12_AAp11_0_0_1_1_3_7_BBp11_0_0_1_3_9_11_k6_d23	C12	432	6	23	400000	dist-m4ri	p11_0_0_1_1_3_7	p11_0_0_1_3_9_11	results/progressive_C12_20260122T153931Z	results/progressive_C12_20260122T153931Z/best_codes/C12_AAp11_0_0_1_1_3_7_BBp11_0_0_1_3_9_11_k6_d23	best_codes/collected/C12_AAp11_0_0_1_1_3_7_BBp11_0_0_1_3_9_11_k6_d23
C12_AAp11_0_0_1_1_3_7_BBp11_0_0_1_2_5_7_k6_d20	C12	432	6	20	400000	dist-m4ri	p11_0_0_1_1_3_7	p11_0_0_1_2_5_7	results/progressive_C12_20260122T153931Z	results/progressive_C12_20260122T153931Z/best_codes/C12_AAp11_0_0_1_1_3_7_BBp11_0_0_1_2_5_7_k6_d20	best_codes/collected/C12_AAp11_0_0_1_1_3_7_BBp11_0_0_1_2_5_7_k6_d20
C12_AAp17_0_1_2_4_5_10_BBp27_0_2_6_9_9_10_k8_d32	C12	432	8	32	400000	dist-m4ri	p17_0_1_2_4_5_10	p27_0_2_6_9_9_10	results/progressive_C12_20260122T153931Z	results/progressive_C12_20260122T153931Z/best_codes/C12_AAp17_0_1_2_4_5_10_BBp27_0_2_6_9_9_10_k8_d32	best_codes/collected/C12_AAp17_0_1_2_4_5_10_BBp27_0_2_6_9_9_10_k8_d32
C12_AAp14_0_2_5_5_6_8_BBp27_0_2_6_9_9_10_k8_d30	C12	432	8	30	400000	dist-m4ri	p14_0_2_5_5_6_8	p27_0_2_6_9_9_10	results/progressive_C12_20260122T153931Z	results/progressive_C12_20260122T153931Z/best_codes/C12_AAp14_0_2_5_5_6_8_BBp27_0_2_6_9_9_10_k8_d30	best_codes/collected/C12_AAp14_0_2_5_5_6_8_BBp27_0_2_6_9_9_10_k8_d30
C12_AAp10_0_1_2_4_9_10_BBp27_0_2_6_9_9_10_k8_d29	C12	432	8	29	400000	dist-m4ri	p10_0_1_2_4_9_10	p27_0_2_6_9_9_10	results/progressive_C12_20260122T153931Z	results/progressive_C12_20260122T153931Z/best_codes/C12_AAp10_0_1_2_4_9_10_BBp27_0_2_6_9_9_10_k8_d29	best_codes/collected/C12_AAp10_0_1_2_4_9_10_BBp27_0_2_6_9_9_10_k8_d29
